15,-53.255489,-54.567692,-52.330467,-54.124649,-58.615555,-54.111553,-55.672626,-52.243092,-54.533062,-54.421597,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
15.5,-53.665989,-55.513462,-52.623932,-53.955246,-59.443581,-53.433468,-55.022198,-52.393955,-53.939659,-54.028954,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
16,-53.944439,-56.439812,-53.058926,-53.941715,-60.40958,-52.924129,-54.431252,-52.812653,-53.578167,-53.972202,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
16.5,-54.173908,-57.176533,-53.534996,-54.038128,-61.212517,-52.706108,-54.015156,-53.479523,-53.560352,-54.01767,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
17,-54.470947,-57.563046,-53.969986,-54.150745,-61.606129,-52.870396,-53.829075,-54.349823,-53.828003,-53.897552,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
17.5,-54.887756,-57.475426,-54.324211,-54.160835,-61.524441,-53.381748,-53.870865,-55.335484,-54.195198,-53.449493,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
18,-55.399689,-56.903305,-54.570637,-53.995972,-61.088867,-54.082722,-54.07798,-56.299809,-54.447174,-52.704823,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
18.5,-55.904259,-55.970161,-54.659538,-53.676811,-60.507603,-54.730518,-54.37122,-57.075504,-54.449287,-51.867985,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
19,-56.250839,-54.886971,-54.554672,-53.316124,-59.962063,-55.068924,-54.663647,-57.501293,-54.17606,-51.161037,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
19.5,-56.337654,-53.893345,-54.270348,-53.085022,-59.500095,-54.971836,-54.867481,-57.45145,-53.682865,-50.69762,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
20,-56.165112,-53.132492,-53.896843,-53.107643,-59.071495,-54.480854,-54.927147,-56.908348,-53.096081,-50.443298,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
20.5,-55.86071,-52.606766,-53.56641,-53.407501,-58.613781,-53.760269,-54.844215,-56.009644,-52.547401,-50.303108,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
21,-55.589252,-52.254272,-53.373638,-53.912346,-58.111649,-53.012535,-54.676113,-55.024017,-52.111938,-50.220749,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
21.5,-55.428158,-52.028095,-53.37775,-54.460205,-57.646816,-52.391003,-54.516052,-54.266693,-51.816902,-50.191055,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
22,-55.344299,-51.958229,-53.575169,-54.867462,-57.331875,-51.976868,-54.442062,-53.923828,-51.61417,-50.246044,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
22.5,-55.22823,-52.109322,-53.894405,-55.00264,-57.214573,-51.789543,-54.499756,-53.958691,-51.414959,-50.408733,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
23,-54.97797,-52.522488,-54.229942,-54.818256,-57.244064,-51.816853,-54.672791,-54.181526,-51.178482,-50.66713,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
23.5,-54.58292,-53.191544,-54.481174,-54.355106,-57.259953,-52.056114,-54.906986,-54.383804,-50.947033,-50.990234,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
24,-54.122463,-53.986626,-54.604511,-53.678928,-57.094383,-52.509655,-55.173855,-54.483425,-50.831493,-51.312546,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
24.5,-53.723034,-54.693146,-54.623444,-52.859756,-56.680527,-53.173225,-55.442883,-54.546192,-50.89922,-51.572922,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
25,-53.495113,-55.122604,-54.602928,-51.969326,-56.066742,-54.020248,-55.669346,-54.689236,-51.071232,-51.781197,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
25.5,-53.455357,-55.211811,-54.634071,-51.082478,-55.3825,-54.949982,-55.801647,-54.981766,-51.168232,-52.034908,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
26,-53.5196,-55.044174,-54.763283,-50.298557,-54.743031,-55.800957,-55.79734,-55.403931,-51.028206,-52.489349,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
26.5,-53.553631,-54.781105,-54.980316,-49.726109,-54.179417,-56.401821,-55.669888,-55.873146,-50.621174,-53.269676,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
