11.5,4.909653,1.635192,4.686846,4.344113,0.402418,8.061257,2.012198,1.284459,5.093317,-35,-35,-35,-35,-35,-35,-35,-35,-35
12,5.079094,2.192066,3.893119,4.71741,0.177404,6.220721,2.560859,1.442021,3.97263,-35,-35,-35,-35,-35,-35,-35,-35,-35
12.5,4.868393,2.743459,3.091772,5.059589,-0.062746,4.37727,3.148639,1.602801,2.917119,-35,-35,-35,-35,-35,-35,-35,-35,-35
13,4.458401,3.251403,2.658473,5.51908,-0.311778,2.918279,3.804714,1.790385,1.98111,-35,-35,-35,-35,-35,-35,-35,-35,-35
13.5,4.056297,3.812199,2.849121,6.154648,-0.642795,2.022692,4.400494,2.012954,1.188503,-35,-35,-35,-35,-35,-35,-35,-35,-35
14,3.787455,4.493993,3.658123,6.862534,-1.114444,1.563928,4.749598,2.294188,0.547334,-35,-35,-35,-35,-35,-35,-35,-35,-35
14.5,3.692832,5.26041,4.78403,7.455972,-1.726149,1.247708,4.748439,2.668555,0.098485,-35,-35,-35,-35,-35,-35,-35,-35,-35
15,3.715182,5.928392,5.764185,7.742686,-2.446821,0.825065,4.428516,3.223634,-0.123885,-35,-35,-35,-35,-35,-35,-35,-35,-35
15.5,3.763628,6.246535,6.206758,7.627957,-3.148236,0.204898,3.993564,3.984133,-0.139139,-35,-35,-35,-35,-35,-35,-35,-35,-35
16,3.78389,6.102263,5.945199,7.217294,-3.596879,-0.488531,3.717652,4.797356,0.032115,-35,-35,-35,-35,-35,-35,-35,-35,-35
16.5,3.790356,5.55652,5.118388,6.766225,-3.555085,-1.040969,3.785822,5.430919,0.306193,-35,-35,-35,-35,-35,-35,-35,-35,-35
17,3.913871,4.820854,4.003251,6.532376,-2.926598,-1.284683,4.182336,5.686718,0.494145,-35,-35,-35,-35,-35,-35,-35,-35,-35
17.5,4.314309,4.150584,2.870929,6.63833,-1.88063,-1.1105,4.656339,5.506489,0.457894,-35,-35,-35,-35,-35,-35,-35,-35,-35
18,5.033514,3.694241,1.879394,6.94589,-0.75545,-0.543894,4.865991,4.966133,0.181063,-35,-35,-35,-35,-35,-35,-35,-35,-35
18.5,5.947343,3.449649,1.031031,7.140222,0.112368,0.275364,4.573148,4.25742,-0.225305,-35,-35,-35,-35,-35,-35,-35,-35,-35
19,6.779748,3.279272,0.280464,6.89924,0.51162,1.18083,3.707992,3.686841,-0.595893,-35,-35,-35,-35,-35,-35,-35,-35,-35
19.5,7.258659,3.02392,-0.392392,6.063845,0.459054,2.017201,2.433618,3.483948,-0.839051,-35,-35,-35,-35,-35,-35,-35,-35,-35
20,7.285158,2.63579,-0.956408,4.773084,0.143138,2.709548,1.050409,3.683095,-0.95974,-35,-35,-35,-35,-35,-35,-35,-35,-35
20.5,6.933825,2.204784,-1.302095,3.395734,-0.190521,3.278219,-0.181851,4.11254,-1.089227,-35,-35,-35,-35,-35,-35,-35,-35,-35
21,6.408386,1.923602,-1.31341,2.313295,-0.359667,3.767231,-1.142858,4.436765,-1.389448,-35,-35,-35,-35,-35,-35,-35,-35,-35
21.5,5.921721,1.920248,-0.929255,1.691594,-0.354301,4.164466,-1.872193,4.376165,-1.884257,-35,-35,-35,-35,-35,-35,-35,-35,-35
22,5.615134,2.113434,-0.213538,1.419009,-0.286545,4.342703,-2.499215,3.850598,-2.448368,-35,-35,-35,-35,-35,-35,-35,-35,-35
22.5,5.505646,2.303358,0.64476,1.272054,-0.275791,4.189591,-3.093106,3.00523,-2.865566,-35,-35,-35,-35,-35,-35,-35,-35,-35
23,5.475073,2.29286,1.478373,1.081481,-0.313255,3.734696,-3.601439,2.133342,-2.913254,-35,-35,-35,-35,-35,-35,-35,-35,-35
23.5,5.35151,2.003896,2.19373,0.807822,-0.18873,3.125902,-3.856006,1.482879,-2.459806,-35,-35,-35,-35,-35,-35,-35,-35,-35
24,4.998831,1.544676,2.776478,0.54694,0.369629,2.586421,-3.700082,1.188711,-1.518593,-35,-35,-35,-35,-35,-35,-35,-35,-35
24.5,4.396913,1.130621,3.27062,0.429612,1.531814,2.276878,-3.113848,1.280803,-0.275689,-35,-35,-35,-35,-35,-35,-35,-35,-35
25,3.690207,0.990938,3.67962,0.549841,3.259479,2.21492,-2.221408,1.686473,0.967703,-35,-35,-35,-35,-35,-35,-35,-35,-35
25.5,3.07614,1.249998,3.998223,0.910696,5.256596,2.308695,-1.239324,2.279194,1.930165,-35,-35,-35,-35,-35,-35,-35,-35,-35
26,2.664882,1.802042,4.255125,1.391749,7.078433,2.398507,-0.334786,2.877229,2.424037,-35,-35,-35,-35,-35,-35,-35,-35,-35
26.5,2.446726,2.383154,4.457795,1.853107,8.300085,2.381567,0.412716,3.324226,2.471726,-35,-35,-35,-35,-35,-35,-35,-35,-35
27,2.311176,2.724706,4.568622,2.21623,8.679092,2.282593,1.035637,3.539205,2.261717,-35,-35,-35,-35,-35,-35,-35,-35,-35
27.5,2.204536,2.702888,4.516956,2.498951,8.267511,2.230693,1.695608,3.475866,1.996754,-35,-35,-35,-35,-35,-35,-35,-35,-35
28,2.198137,2.373552,4.296155,2.806564,7.29748,2.393295,2.562777,3.130831,1.832627,-35,-35,-35,-35,-35,-35,-35,-35,-35
28.5,2.421516,1.885707,4.027859,3.234799,6.051168,2.833465,3.681643,2.562418,1.81064,-35,-35,-35,-35,-35,-35,-35,-35,-35
29,2.957465,1.42243,3.865218,3.817113,4.723682,3.424592,4.914412,1.890221,1.887561,-35,-35,-35,-35,-35,-35,-35,-35,-35
29.5,3.757984,1.153419,3.886479,4.465917,3.379872,3.916619,5.976739,1.272883,1.983972,-35,-35,-35,-35,-35,-35,-35,-35,-35
