7.5,-18.412054,-25.670712,-20.168549,-16.693924,-20.42392,-12.303196,-21.464252,-23.4196,-16.595551,-24.721581,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
8,-17.823996,-26.095997,-20.054495,-16.840147,-21.004257,-13.133235,-20.395519,-23.957228,-17.379835,-25.352167,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
8.5,-17.03019,-26.147608,-20.023762,-17.308369,-21.500114,-14.224859,-18.857504,-24.21102,-18.442019,-26.079676,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
9,-16.134945,-25.718657,-20.066797,-18.201689,-21.87602,-15.577564,-17.134808,-24.135563,-19.638245,-26.627758,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
9.5,-15.291603,-24.854137,-20.133024,-19.449633,-22.094465,-17.15004,-15.630206,-23.848108,-20.831612,-26.758337,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
10,-14.64758,-23.778177,-20.204414,-20.826012,-22.062258,-18.788568,-14.666041,-23.646355,-21.934313,-26.394867,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
10.5,-14.31254,-22.820593,-20.281162,-22.103144,-21.698236,-20.26296,-14.340696,-23.811232,-22.92959,-25.660105,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
11,-14.295297,-22.273476,-20.33363,-23.144854,-21.00523,-21.31213,-14.52192,-24.43541,-23.841785,-24.823832,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
11.5,-14.445542,-22.286249,-20.366438,-23.883244,-20.110464,-21.770498,-14.915731,-25.384748,-24.652012,-24.128216,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
12,-14.555152,-22.76206,-20.424824,-24.323938,-19.275291,-21.620752,-15.222109,-26.351189,-25.30899,-23.660902,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
12.5,-14.442898,-23.4074,-20.566006,-24.50749,-18.759451,-20.971336,-15.283054,-27.029812,-25.707703,-23.303152,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
13,-14.027483,-23.867962,-20.830048,-24.499611,-18.71467,-20.030981,-15.118985,-27.200056,-25.732698,-22.81282,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
13.5,-13.427135,-23.834154,-21.161068,-24.369747,-19.118063,-19.025537,-14.910156,-26.795746,-25.327822,-22.04147,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
14,-12.852533,-23.214483,-21.458153,-24.147049,-19.774475,-18.118555,-14.849883,-25.88221,-24.505985,-21.03471,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
14.5,-12.514581,-22.152124,-21.647181,-23.84515,-20.456936,-17.379551,-15.031848,-24.592937,-23.349958,-20.002842,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
15,-12.516408,-20.924116,-21.7078,-23.454576,-21.033064,-16.73683,-15.402188,-23.141012,-21.960888,-19.215,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
15.5,-12.784018,-19.812157,-21.674921,-22.982517,-21.49596,-16.084764,-15.834649,-21.774029,-20.416853,-18.819496,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
16,-13.169127,-18.976814,-21.543152,-22.48905,-21.962902,-15.394416,-16.277729,-20.662796,-18.802814,-18.836214,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
16.5,-13.544703,-18.463972,-21.230154,-22.016748,-22.540556,-14.70389,-16.756727,-19.883261,-17.224279,-19.201162,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
17,-13.87696,-18.255093,-20.664246,-21.582689,-23.256493,-14.121807,-17.320379,-19.439964,-15.799937,-19.813612,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
17.5,-14.274186,-18.269743,-19.843527,-21.165066,-24.023354,-13.736118,-18.031952,-19.321085,-14.703528,-20.616234,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
18,-14.866488,-18.419224,-18.87425,-20.690113,-24.632761,-13.53678,-18.881615,-19.520905,-14.086578,-21.581303,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
18.5,-15.701162,-18.613903,-17.931658,-20.112812,-24.88975,-13.416843,-19.764812,-19.943182,-14.013659,-22.719997,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
19,-16.713135,-18.82025,-17.190617,-19.477001,-24.709372,-13.203954,-20.529509,-20.414822,-14.409658,-24.051916,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
19.5,-17.71319,-19.068352,-16.8001,-18.932547,-24.152166,-12.791265,-21.030127,-20.703033,-15.056604,-25.501469,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
20,-18.466459,-19.370672,-16.783504,-18.660833,-23.413584,-12.224,-21.245779,-20.604078,-15.689914,-26.913486,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
20.5,-18.749853,-19.708834,-17.003513,-18.71944,-22.684866,-11.675364,-21.26202,-20.082964,-16.09207,-28.080891,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
