18.5,-11.671355,-18.232405,-24.742035,-26.303434,-31.095724,-35,-35,-35,-35,-35
19,-10.53906,-18.548594,-24.891987,-26.028383,-31.389614,-35,-35,-35,-35,-35
19.5,-9.748789,-19.226891,-24.759909,-25.020193,-31.26602,-35,-35,-35,-35,-35
20,-9.496797,-20.095482,-24.345009,-23.339209,-30.60261,-35,-35,-35,-35,-35
20.5,-9.776632,-20.914661,-23.680086,-21.184423,-29.408138,-35,-35,-35,-35,-35
21,-10.381675,-21.563702,-22.810501,-18.892126,-27.793734,-35,-35,-35,-35,-35
21.5,-11.026791,-22.08806,-21.811649,-16.893967,-25.959162,-35,-35,-35,-35,-35
22,-11.512058,-22.644444,-20.783394,-15.584735,-24.118093,-35,-35,-35,-35,-35
22.5,-11.768288,-23.408381,-19.817373,-15.158847,-22.518456,-35,-35,-35,-35,-35
23,-11.865564,-24.460361,-19.014145,-15.512455,-21.385441,-35,-35,-35,-35,-35
23.5,-11.988976,-25.752146,-18.397415,-16.377188,-20.778393,-35,-35,-35,-35,-35
24,-12.337054,-27.105682,-17.882902,-17.476679,-20.572166,-35,-35,-35,-35,-35
24.5,-13.00547,-28.268288,-17.387323,-18.601004,-20.501575,-35,-35,-35,-35,-35
25,-13.901745,-29.039207,-16.904451,-19.674192,-20.339273,-35,-35,-35,-35,-35
25.5,-14.851708,-29.314379,-16.539005,-20.683096,-20.065845,-35,-35,-35,-35,-35
26,-15.759474,-29.106052,-16.431299,-21.650347,-19.879786,-35,-35,-35,-35,-35
26.5,-16.62866,-28.527504,-16.674765,-22.606255,-20.125797,-35,-35,-35,-35,-35
27,-17.477707,-27.715509,-17.278942,-23.521212,-20.994513,-35,-35,-35,-35,-35
27.5,-18.26165,-26.817026,-18.113073,-24.344297,-22.351089,-35,-35,-35,-35,-35
28,-18.817127,-25.949091,-18.955795,-24.980951,-23.812693,-35,-35,-35,-35,-35
28.5,-18.899782,-25.164,-19.600801,-25.33046,-24.996988,-35,-35,-35,-35,-35
29,-18.312836,-24.449831,-19.940163,-25.382307,-25.785406,-35,-35,-35,-35,-35
29.5,-17.078627,-23.762428,-20.033796,-25.20903,-26.361959,-35,-35,-35,-35,-35
30,-15.476191,-23.112688,-20.045538,-24.962973,-27.014353,-35,-35,-35,-35,-35
30.5,-13.922336,-22.577068,-20.140244,-24.788431,-27.913105,-35,-35,-35,-35,-35
31,-12.806882,-22.202175,-20.430782,-24.715727,-28.954624,-35,-35,-35,-35,-35
31.5,-12.352498,-21.948141,-20.940334,-24.710043,-29.862467,-35,-35,-35,-35,-35
32,-12.572317,-21.682768,-21.605736,-24.711241,-30.42053,-35,-35,-35,-35,-35
32.5,-13.317592,-21.226486,-22.301363,-24.665068,-30.568869,-35,-35,-35,-35,-35
33,-14.317836,-20.458349,-22.909557,-24.563248,-30.432112,-35,-35,-35,-35,-35
33.5,-15.308004,-19.372101,-23.436533,-24.415678,-30.206556,-35,-35,-35,-35,-35
34,-16.133373,-18.154408,-23.998672,-24.30822,-30.038231,-35,-35,-35,-35,-35
34.5,-16.738913,-17.148903,-24.690907,-24.368176,-29.988495,-35,-35,-35,-35,-35
35,-17.163397,-16.691031,-25.472836,-24.641407,-29.986229,-35,-35,-35,-35,-35
35.5,-17.457785,-16.96751,-26.114113,-25.04109,-29.845249,-35,-35,-35,-35,-35
36,-17.625448,-17.953777,-26.346704,-25.337687,-29.373169,-35,-35,-35,-35,-35
36.5,-17.626659,-19.486645,-26.033085,-25.275599,-28.459925,-35,-35,-35,-35,-35
37,-17.391304,-21.400789,-25.2432,-24.699568,-27.186245,-35,-35,-35,-35,-35
37.5,-16.917767,-23.565109,-24.232462,-23.628347,-25.798481,-35,-35,-35,-35,-35
38,-16.314022,-25.853588,-23.262726,-22.261911,-24.572863,-35,-35,-35,-35,-35
38.5,-15.747051,-28.070042,-22.46734,-20.883728,-23.712265,-35,-35,-35,-35,-35
39,-15.387995,-29.889481,-21.839392,-19.726633,-23.265989,-35,-35,-35,-35,-35
39.5,-15.343072,-30.981846,-21.238861,-18.935026,-23.156887,-35,-35,-35,-35,-35
40,-15.604295,-31.145548,-20.507711,-18.547474,-23.225294,-35,-35,-35,-35,-35
40.5,-16.052717,-30.426968,-19.578196,-18.521975,-23.302843,-35,-35,-35,-35,-35
41,-16.527584,-29.130337,-18.503553,-18.751419,-23.380327,-35,-35,-35,-35,-35
